"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"MA010120220807135878","업소명없음","","L1","부동산","L102","부동산 서비스","L10203","부동산 중개/대리업","L68221","부동산 중개 및 대리업","36","세종특별자치시","36110","세종특별자치시","36110515","새롬동","3611010800","새롬동","3611010800105930000","1","대지",593,,"세종특별자치시 세종특별자치시 새롬동 593","361103351239","세종특별자치시 세종특별자치시 새롬중앙1로",13,,"3611010800103410094000001","새뜸마을메이저시티6단지","세종특별자치시 세종특별자치시 새롬중앙1로 13","339009","30126","","","",127.249883005726,36.4837204926779
"MA010120220803548887","실크로드부동산공인중개사사무소","","L1","부동산","L102","부동산 서비스","L10203","부동산 중개/대리업","L68221","부동산 중개 및 대리업","36","세종특별자치시","36110","세종특별자치시","36110330","부강면","3611033025","부강면","3611033025107060000","1","대지",706,,"세종특별자치시 세종특별자치시 부강면 문곡리 706","361103240036","세종특별자치시 세종특별자치시 부강면 부강외천로",221,,"3611033025107060000000001","","세종특별자치시 세종특별자치시 부강면 부강외천로 221","339944","30073","","3","",127.391532850384,36.5286767056629
"MA010120220805407083","세종이안","","G2","소매","G205","식료품 소매","G20508","건강보조식품 소매업","G47217","건강 보조식품 소매업","36","세종특별자치시","36110","세종특별자치시","36110515","새롬동","3611010800","새롬동","3611010800105790000","1","대지",579,,"세종특별자치시 세종특별자치시 새롬동 579","361103351283","세종특별자치시 세종특별자치시 새롬중앙로",62,15,"3611010800200190000000001","해피라움W","세종특별자치시 세종특별자치시 새롬중앙로 62-15","339009","30127","","4","",127.251232489514,36.4869257814145
"MA010120220805259803","예찬양엔터테인먼트","","I2","음식","I212","비알코올 ","I21201","카페","I56229","기타 비알코올 음료점업","36","세종특별자치시","36110","세종특별자치시","36110320","연동면","3611032021","연동면","3611032021104980000","1","대지",498,,"세종특별자치시 세종특별자치시 연동면 내판리 498","361104574561","세종특별자치시 세종특별자치시 연동면 효자길",191,9,"4473031021104980000017769","","세종특별자치시 세종특별자치시 연동면 효자길 191-9","339861","30068","","","",127.324097759637,36.5517141029051
"MA010120220802912861","삼익공인중개사사무소","","L1","부동산","L102","부동산 서비스","L10203","부동산 중개/대리업","L68221","부동산 중개 및 대리업","36","세종특별자치시","36110","세종특별자치시","36110523","어진동","3611011000","어진동","3611011000106660000","1","대지",666,,"세종특별자치시 세종특별자치시 어진동 666","361103258074","세종특별자치시 세종특별자치시 가름로",180,,"3611011000106660000000001","세종파이낸스센터","세종특별자치시 세종특별자치시 가름로 180","339012","30121","","","",127.259871941943,36.4974508123465
"MA010120220805882645","일품국수","","I2","음식","I201","한식","I20105","국수/칼국수","I56111","한식 일반 음식점업","36","세종특별자치시","36110","세종특별자치시","36110250","조치원읍","3611025032","조치원읍","3611025032103570004","1","대지",357,4,"세종특별자치시 세종특별자치시 조치원읍 신안리 357-4","361104574299","세종특별자치시 세종특별자치시 조치원읍 섭골길",51,21,"3611025032103570004000002","","세종특별자치시 세종특별자치시 조치원읍 섭골길 51-21","339886","30016","","","",127.285729283592,36.6147750345382
"MA010120220806441770","라인인테리어","","M1","과학·기술","M112","전문 디자인","M11201","인테리어 디자인업","F42412","도배; 실내 장식 및 내장 목공사업","36","세종특별자치시","36110","세종특별자치시","36110570","대평동","3611010400","대평동","3611010400107000000","1","대지",700,,"세종특별자치시 세종특별자치시 대평동 700","361103350795","세종특별자치시 세종특별자치시 대평로",56,,"3611010400100830001000001","해들마을5단지","세종특별자치시 세종특별자치시 대평로 56","339005","30153","","1","",127.278871374818,36.4732929457592
"MA010120220806656513","한중행정사사무소","","M1","과학·기술","M103","법무관련 ","M10306","행정사","M71109","기타 법무관련 서비스업","36","세종특별자치시","36110","세종특별자치시","36110560","보람동","3611010300","보람동","3611010300107440000","1","대지",744,,"세종특별자치시 세종특별자치시 보람동 744","361102000002","세종특별자치시 세종특별자치시 한누리대로",2129,,"3611010300106290001000001","스타힐타워2차","세종특별자치시 세종특별자치시 한누리대로 2129","339008","30150","","3","",127.289758881822,36.478574831255
"MA010120220807572426","아쿠아힐","","G2","소매","G220","애완동물·용품 소매","G22001","애완동물/애완용품 소매업","G47852","애완용 동물 및 관련용품 소매업","36","세종특별자치시","36110","세종특별자치시","36110350","장군면","3611035021","장군면","3611035021102970001","1","대지",297,1,"세종특별자치시 세종특별자치시 장군면 도계리 297-1","361103251037","세종특별자치시 세종특별자치시 장군면 장척로",437,81,"4415035021102970001016993","","세종특별자치시 세종특별자치시 장군면 장척로 437-81","339913","30053","","","",127.201386776538,36.5020426140673
"MA010120220806928679","기라뷰티","","S2","수리·개인","S207","이용·미용","S20702","피부 관리실","S96113","피부 미용업","36","세종특별자치시","36110","세종특별자치시","36110560","보람동","3611010300","보람동","3611010300107470000","1","대지",747,,"세종특별자치시 세종특별자치시 보람동 747","361103350794","세종특별자치시 세종특별자치시 호려울로",29,,"3611010300106290004000001","세종시드니","세종특별자치시 세종특별자치시 호려울로 29","339008","30150","","2","",127.290236248697,36.477915825729
